Ticker,Name,Sub_Industry_Orig,Sub_Industry,Industry,Industry_Group,Sector,Market_Cap
NEXA,Nexa Resources S.A.,Other Industrial Metals & Mining,Diversified Metals & Mining,Metals & Mining,Materials,Materials,793.94M
NEXN,Nexxen International Ltd.,Advertising Agencies,Advertising,Media,Media & Entertainment,Communication Services,561.24M
NEXT,NextDecade Corporation,Oil & Gas Equipment & Services,Oil & Gas Equipment & Services,Energy Equipment & Services,Energy,Energy,1.94B
NFBK,"Northfield Bancorp, Inc. (Staten Island, NY)",Banks - Regional,Regional Banks,Banks,Banks,Financials,412.19M
NFE,New Fortress Energy Inc.,Utilities - Regulated Gas,Gas Utilities,Gas Utilities,Utilities,Utilities,1.52B
NFG,National Fuel Gas Company,Oil & Gas Integrated,Integrated Oil & Gas,"Oil, Gas & Consumable Fuels",Energy,Energy,7.13B
NFGC,New Found Gold Corp.,Gold,Gold,Metals & Mining,Materials,Materials,235.97M
NFLX,"Netflix, Inc.",Entertainment,Movies & Entertainment,Entertainment,Media & Entertainment,Communication Services,411.34B
NG,NovaGold Resources Inc.,Gold,Gold,Metals & Mining,Materials,Materials,969.70M
NGD,New Gold Inc.,Gold,Gold,Metals & Mining,Materials,Materials,2.89B
NGG,National Grid plc,Utilities - Regulated Electric,Electric Utilities,Electric Utilities,Utilities,Utilities,68.28B
NGL,NGL Energy Partners LP,Oil & Gas Midstream,Oil & Gas Storage & Transportation,"Oil, Gas & Consumable Fuels",Energy,Energy,367.66M
NGNE,Neurogene Inc.,Biotechnology,Biotechnology,Biotechnology,"Pharmaceuticals, Biotechnology & Life Sciences",Health Care,160.72M
NGS,"Natural Gas Services Group, Inc.",Oil & Gas Equipment & Services,Oil & Gas Equipment & Services,Energy Equipment & Services,Energy,Energy,241.63M
NGVC,"Natural Grocers by Vitamin Cottage, Inc.",Grocery Stores,Consumer Staples Merchandise Retail,Consumer Staples Distribution & Retail,Consumer Staples Distribution & Retail,Consumer Staples,1.09B
NGVT,Ingevity Corporation,Specialty Chemicals,Specialty Chemicals,Chemicals,Materials,Materials,1.13B
NHC,National HealthCare Corporation,Medical Care Facilities,Marine Transportation,Marine Transportation,Transportation,Industrials,1.41B
